id;certamen;origen;fecha;anio;cerveceria;cerveza_ganadora;estilo;premio;medalla_base;tipo_premio;subcategoria;ciudad;pais
134;Brussels Beer Challenge;Bélgica;2018-10;2018;Wäls - Cerveja Arte;Wäls Dubbel;Abbey Dubbel;Silver Medal;Plata;Beer;BeerStyle;;Brasil
135;Brussels Beer Challenge;Bélgica;2025-10;2025;Brouwerij De Halve Maan;Brugse Zot Dubbel;Abbey Dubbel;Plata Medal;Plata;Beer;BeerStyle;;Bélgica
136;Brussels Beer Challenge;Bélgica;2025-10;2025;Taxman Brewing Company;Deduction;Abbey Dubbel;Bronce Medal;Bronce;Beer;BeerStyle;;EEUU
137;Brussels Beer Challenge;Bélgica;2025-10;2025;Diciottozerouno srl;Granata;Abbey Dubbel;Oro Medal;Oro;Beer;BeerStyle;;Italia
138;Brussels Beer Challenge;Bélgica;2024-10;2024;Bières de Chimay;Chimay Dorée;Abbey Single-Extra;Bronze Medal;Bronce;Beer;BeerStyle;;Bélgica
139;Brussels Beer Challenge;Bélgica;2024-10;2024;Duvel Moortgat NV;Chouffe Lite;Abbey Single-Extra;Silver Medal;Plata;Beer;BeerStyle;;Bélgica
140;Brussels Beer Challenge;Bélgica;2024-10;2024;Pylot Sprl;La Petite Redoutable blonde;Abbey Single-Extra;Bronze Medal;Bronce;Beer;BeerStyle;;Bélgica
141;Brussels Beer Challenge;Bélgica;2024-10;2024;Texelse Bierbrouwerij B.V.;Texels Zeebries Blond;Abbey Single-Extra;Gold Medal;Oro;Beer;BeerStyle;;Países Bajos
142;Brussels Beer Challenge;Bélgica;2025-10;2025;Bierbrouwerij de Magistraat BV;Dochter v/d Burgemeester;Abbey Single-Extra;Plata Medal;Plata;Beer;BeerStyle;;Países Bajos
143;Brussels Beer Challenge;Bélgica;2025-10;2025;Texelse Bierbrouwerij B.V.;Texels Zeebries blond;Abbey Single-Extra;Bronce Medal;Bronce;Beer;BeerStyle;;Países Bajos
144;Brussels Beer Challenge;Bélgica;2025-10;2025;Brouwerij L. Huyghe NV;Averbode Extra;Abbey Single-Extra;Best Belgian Beer;Oro;Beer;BeerPais;;Belgica
145;BBA, Brazilian International Beer Awards;Internacional;2025-11;2025;Cervejaria Karsten;Karsten Adambier;Adambier;Oro;Oro;Beer;Style; - ;Brasil
146;BBA, Brazilian International Beer Awards;Internacional;2025-11;2025;Cervejaria Karsten;Karsten Adambier;Adambier;Oro;Oro;Beer;Style; - ;Brasil
147;Concursos Brasil Cup - Brasil;Internacional;2025-08;2025;Cervejaria Karsten;Karsten Adambier;Adambier;Plata;Plata;Beer;Style; - ;Brasil
148;Concursos Brasil Cup - Brasil;Internacional;2025-08;2025;Don Moss;Scotti;Adambier;Bronce;Bronce;Beer;Style; - ;Brasil
149;Concursos Brasil Cup - Brasil;Internacional;2025-08;2025;Stannis Cervejaria;Kaptain Lisa;Adambier;Oro;Oro;Beer;Style; - ;Brasil
150;BBA, Brazilian International Beer Awards;Internacional;2025-11;2025;Birrificio Baladin Ssa;Xyauyù 2019;Aged Beer;Oro;Oro;Beer;Style; - ;Italia
151;BBA, Brazilian International Beer Awards;Internacional;2025-11;2025;Cervejaria Karsten;RIS Café de Nêne;Aged Beer;Bronce;Bronce;Beer;Style; - ;Brasil
152;BBA, Brazilian International Beer Awards;Internacional;2025-11;2025;Cervejaria Leopoldina;Cervejaria Leopoldina - Leopoldina Barley Wine;Aged Beer;Plata;Plata;Beer;Style; - ;Brasil
153;Concursos Brasil Cup - Brasil;Internacional;2025-08;2025;Cervejaria Três Santas;O Julgamento 2021;Aged Beer;Bronce;Bronce;Beer;Style; - ;Brasil
154;Concursos Brasil Cup - Brasil;Internacional;2025-08;2025;Opa Bier;Tripel;Aged Beer;Oro;Oro;Beer;Style; - ;Brasil
155;Concursos Brasil Cup - Brasil;Internacional;2025-08;2025;Salva Craft Beer;The Legend of Eisbock;Aged Beer;Plata;Plata;Beer;Style; - ;Brasil
156;Copa Guarani De Cervezas - Paraguay;Internacional;2025-08;2025;Santina;Honestidad Sobrevalorada;Aged Beer;Plata;Plata;Beer;Style;Avellaneda;Argentina
157;World Beer Cup (WBC) - EEUU;Internacional;2012-04;2012;Brauerei Schloss Eggenberg;Samichlaus “2004”;Aged Beer;Oro;Oro;Beer;Style;Vorchdorf;EEUU
